pid,weight,x_utm,y_utm,lat,lon
56,228.118409685993,551250.6165871037,5273436.765761267,47.6123094,-122.3180452
57,241.63233538745038,551242.724335724,5273506.95188912,47.6129415,-122.31814200000001
58,241.63233538745038,551241.3673873899,5273635.669499495,47.6140997,-122.31814499999999
59,66.63043478260873,551236.5288526966,5273894.564366469,47.616429399999994,-122.3181791
60,66.63043478260873,551234.1758892615,5274025.45176634,47.61760719999999,-122.31819510000001
61,66.63043478260873,551334.6753440113,5273896.517168589,47.616439199999995,-122.3168729
62,66.63043478260873,551431.7294522809,5273893.660463767,47.6164058,-122.31558180000002
63,66.63043478260873,551529.7526491797,5273904.462712818,47.6164952,-122.31427620000001
64,66.63043478260873,551640.6772291511,5273900.209422427,47.6164481,-122.31280069999998
65,190.46225795960805,550589.5275206416,5273880.165715577,47.6163507,-122.32679
66,100.53125,550686.8399283282,5273880.399829344,47.6163452,-122.3254951
67,100.53125,550761.7715488549,5273882.41901429,47.61635749999999,-122.3244978
68,701.4813557327243,550841.7922411805,5273885.150427761,47.61637579999999,-122.3234327
69,100.53125,550937.148205894,5273888.250342107,47.61639619999999,-122.32216349999999
70,481.6413848528156,549109.3269787864,5273537.0040224455,47.61337709999999,-122.34652460000001
71,276.03060324118366,549172.2814006412,5273610.512912888,47.61403369999999,-122.3456787
72,276.03060324118366,549237.7253199203,5273685.38840625,47.61470239999999,-122.34479950000001
73,386.0166166894943,549301.5884131031,5273759.484393174,47.61536419999999,-122.3439414
74,386.0166166894943,549361.858472832,5273829.927335064,47.615993399999994,-122.3431315
75,386.0166166894943,549429.6327963824,5273908.570431572,47.616695799999995,-122.3422208
76,414.435143232494,549494.7246924859,5273984.290670775,47.61737209999998,-122.3413461
77,414.435143232494,549558.4312872039,5274058.343820683,47.6180335,-122.34049
78,1.3307245674200359,549605.1976432754,5274115.637196543,47.618545399999995,-122.3398612
79,1275.4010391020638,550196.2228417944,5273562.100163757,47.61351959999999,-122.3320599
80,6.533224587879943,550128.6523769082,5273672.820191341,47.61452100000002,-122.33294630000002
81,710.2890650336079,550110.8362500988,5273705.688448467,47.6148181,-122.33317959999998
82,710.2890650336079,550016.0493917979,5273793.557652307,47.615615999999996,-122.33443080000002
83,710.2890650336079,549917.8709709292,5273878.509525751,47.6163879,-122.33572750000002
84,710.2890650336079,549818.1319105926,5273963.50525301,47.6171603,-122.33704499999999
85,710.2890650336079,549720.265449317,5274029.301512575,47.617759799999995,-122.3383398
86,1.3307245674200359,549658.7769855047,5274115.837825302,47.6185431,-122.33914820000001
87,517.7530057724063,550703.0616558408,5272761.711938894,47.606278899999985,-122.3254087
88,517.7530057724063,550653.7654802824,5272840.674992071,47.60699319999999,-122.32605540000002
89,183.5192023700494,550603.673261402,5272919.709343866,47.607708200000005,-122.32671270000002
90,183.5192023700494,550554.5951804852,5272998.097147029,47.608417300000006,-122.32735660000002
91,183.5192023700494,550504.6248042069,5273076.388705826,47.609125600000006,-122.32801240000002
92,1167.3888665563823,550453.9069958566,5273155.21882792,47.6098388,-122.3286781
93,2143.2359624903006,549804.9466121971,5274375.510382517,47.62086819999999,-122.3371736
94,2143.2359624903006,549803.2821750322,5274636.211190415,47.623213899999996,-122.3371661
95,45.83622727847999,549693.8976554519,5274915.543008169,47.625735500000005,-122.33859010000002
96,507.6801927547495,549949.3858830323,5272250.650201294,47.6017393,-122.3354937
97,507.6801927547495,549996.570436957,5272250.821126737,47.6017372,-122.334866
98,507.6801927547495,550044.4073288993,5272251.186979396,47.6017368,-122.33422959999999
99,507.6801927547495,550146.9574310465,5272251.2787697,47.6017297,-122.33286539999999
100,507.6801927547495,550213.7297557925,5272251.719950842,47.60172850000001,-122.3319771
101,507.6801927547495,550341.5296714795,5272251.910368388,47.6017203,-122.330277
102,31.073317015967454,550636.720463538,5272253.487944708,47.6017115,-122.32635000000002
103,710.2890650336079,549877.7297346788,5273517.831146492,47.6131459,-122.33630270000002
104,27.02686189739292,549960.8418343335,5273568.225044552,47.6135929,-122.33519110000002
105,710.2890650336079,550045.7574616873,5273621.103075502,47.614062099999984,-122.3340552
106,710.2890650336079,550294.3956149367,5273778.536131193,47.61545929999999,-122.33072880000002
107,67.02894950844235,550589.6175182778,5273967.638455839,47.617137699999994,-122.32677870000002
108,517.7530057724063,551050.4350367463,5272870.909626106,47.6072341,-122.3207746
109,392.83050851292734,551045.826947788,5273093.316973006,47.6092355,-122.32081
110,392.83050851292734,551044.6485774146,5273191.848763239,47.6101221,-122.3208142
111,392.83050851292734,551043.4943509379,5273306.508078988,47.61115379999999,-122.3208162
112,392.83050851292734,551043.2282067586,5273340.338622651,47.6114582,-122.3208158
113,392.83050851292734,551041.7765134997,5273508.712285696,47.61297319999999,-122.32081550000001
114,701.4813557327243,551039.7124030638,5273632.866687767,47.6140904,-122.3208285
115,701.4813557327243,551038.4624987547,5273762.741156589,47.61525900000001,-122.32083
116,100.53125,551033.9833751643,5274021.094629015,47.6175838,-122.3208595
117,66.63043478260873,551033.4597045134,5274150.4198041465,47.61874739999999,-122.3208514
118,33.118958921703154,551494.9125176469,5274970.004706832,47.626084799999994,-122.31461450000002
