neighborhood,residents,worker_jobs,source
Downtown/CBD,7352,77258,apportioned: ACS2024 residents + LODES2023 workers
South Lake Union,11969,68348,apportioned: ACS2024 residents + LODES2023 workers
Belltown,22586,56745,apportioned: ACS2024 residents + LODES2023 workers
First Hill,11506,39907,apportioned: ACS2024 residents + LODES2023 workers
Pioneer Square,2799,21757,apportioned: ACS2024 residents + LODES2023 workers
Capitol Hill,28988,14573,apportioned: ACS2024 residents + LODES2023 workers
Chinatown-International District,3938,4628,apportioned: ACS2024 residents + LODES2023 workers
